	Source	NetworkSize	TreatedCount	Reduction	NumHCWs	TreatmentEffect	TreatedHCWs	PtReduction
280	Patient_39080	3	0	3.0	1	0	0	2.0
281	Patient_46539	8	0	8.0	3	0	0	5.0
282	Patient_64827	4	0	4.0	3	0	0	1.0
283	Patient_69933	1	0	1.0	0	0	0	1.0
284	Patient_74001	1	0	1.0	0	0	0	1.0
285	Patient_85445	1	0	1.0	0	0	0	1.0
286	Patient_3787	1	0	1.0	0	0	0	1.0
287	Patient_9621	3	0	3.0	2	0	0	1.0
288	Patient_19870	3	0	3.0	1	0	0	2.0
289	Patient_30776	4	1	3.278	1	2	1	2.6390000000000002
290	Patient_38182	1	0	1.0	0	0	0	1.0
291	Patient_41183	1	0	1.0	0	0	0	1.0
292	Patient_47289	1	0	1.0	0	0	0	1.0
293	Patient_49723	2	1	1.639	0	1	0	1.639
294	Patient_72930	2	0	2.0	1	0	0	1.0
295	Patient_79521	1	0	1.0	0	0	0	1.0
296	Patient_16626	7	4	3.7248319999999993	2	6	2	2.7688879999999996
297	Patient_41411	1	0	1.0	0	0	0	1.0
298	Patient_51313	2	1	1.639	0	1	0	1.639
299	Patient_55871	4	1	3.278	2	2	1	1.639
300	Patient_72002	2	0	2.0	1	0	0	1.0
301	Patient_75649	2	0	2.0	1	0	0	1.0
302	Patient_6081	7	0	7.0	3	0	0	4.0
303	Patient_33062	4	0	4.0	3	0	0	1.0
304	Patient_36834	1	0	1.0	0	0	0	1.0
305	Patient_47704	2	1	1.639	0	1	0	1.639
306	Patient_52435	2	1	1.639	0	1	0	1.639
307	Patient_74912	4	2	2.742016	1	2	0	1.742016
