	SimulationNumber	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction
57	58	11.203885409336987	0.22146118721461186	876	777.853963814208	272	604	194	0.24503311258278146	0.16911764705882354	12.067305046505963
58	59	9.802304315350609	0.21805555555555556	720	649.4234089294756	204	516	157	0.2189922480620155	0.21568627450980393	10.176654083434965
59	60	10.24379872	0.2185430463576159	755	677.659319664	208	547	165	0.2230347349177331	0.20673076923076922	10.340305728702011
60	61	7.6894271417989435	0.16666666666666666	756	697.867930808	319	437	126	0.1945080091533181	0.12852664576802508	8.971724957437083
61	62	9.620549363917535	0.21262886597938144	776	701.3445369359999	299	477	165	0.2348008385744235	0.17725752508361203	10.355975904402518
62	63	9.968602800917537	0.20023696682464456	844	759.864992360256	343	501	169	0.23552894211576847	0.14868804664723032	11.823287726895002
63	64	8.199835135135126	0.17060810810810811	592	543.456976	177	415	101	0.16626506024096385	0.1807909604519774	7.776372048192762
64	65	10.755482733789327	0.24076607387140903	731	652.377421216	232	499	176	0.23246492985971945	0.25862068965517243	10.49182781242484
65	66	14.007384720618543	0.27190721649484534	776	667.3026945680001	263	513	211	0.2729044834307992	0.26996197718631176	13.833838226900586
66	67	8.85696541049799	0.19650067294751009	743	677.1927469999999	225	518	146	0.20270270270270271	0.18222222222222223	9.211817181467184
67	68	8.840556493371764	0.18876080691642652	694	632.646537936	267	427	131	0.22716627634660422	0.12734082397003746	10.723752239812642
68	69	8.035862326169406	0.17572692793931732	791	727.436329	333	458	139	0.2074235807860262	0.13213213213213212	9.372418995633188
69	70	9.486383396030043	0.17108753315649866	754	682.4726691939335	312	442	129	0.20361990950226244	0.125	10.912311527838789
70	71	10.389167571428567	0.21031746031746032	756	677.45789316	281	475	159	0.24210526315789474	0.15658362989323843	11.97958628210527
71	72	9.930382405698783	0.208955223880597	737	663.81308167	280	457	154	0.23851203501094093	0.16071428571428573	11.43847602822757
72	73	9.934530779369627	0.21060171919770773	698	628.65697516	215	483	147	0.2443064182194617	0.13488372093023257	11.541873672877847
73	74	8.632110642962962	0.18814814814814815	675	616.73325316	221	454	127	0.21585903083700442	0.13122171945701358	10.189595339207044
74	75	10.794122728235289	0.225	680	606.599965448	230	450	153	0.23333333333333334	0.20869565217391303	11.218454567111117
75	76	11.018707985020708	0.22701149425287356	696	619.3097924242559	216	480	158	0.26875	0.13425925925925927	12.91502217661333
76	77	7.088135593220331	0.1694915254237288	59	54.818000000000005	10	49	10	0.16326530612244897	0.2	6.477551020408162
77	78	11.92114159105691	0.24552845528455283	615	541.684979215	174	441	151	0.26077097505668934	0.20689655172413793	12.62351128911565
78	79	10.337511093171473	0.21699544764795145	659	590.875801896	222	437	143	0.2242562929061785	0.20270270270270271	10.7921076778032
79	80	9.379612162984216	0.20373027259684362	697	631.624103224	216	481	142	0.24116424116424118	0.12037037037037036	10.897289142619535
80	81	9.042226450717695	0.19617224880382775	836	760.4069868720001	310	526	164	0.20532319391634982	0.18064516129032257	9.638279479847915
81	82	7.653993830232558	0.16424418604651161	688	635.340522448	145	543	113	0.18232044198895028	0.09655172413793103	8.470795865930022
82	83	9.76142100287934	0.20249221183800623	963	868.997515742272	382	581	195	0.22030981067125646	0.17539267015706805	10.725412781020307
83	84	7.646929680365303	0.158675799086758	876	809.012896	315	561	139	0.18538324420677363	0.1111111111111111	8.923915864527633
84	85	8.934336125961536	0.18870192307692307	832	757.666323432	253	579	157	0.20898100172711573	0.1422924901185771	9.779325486701214
85	86	7.679263202952029	0.16728167281672818	813	750.56759016	258	555	136	0.1963963963963964	0.10465116279069768	9.05483420540541
86	87	10.324753596907206	0.21649484536082475	776	695.8799120880001	238	538	168	0.24721189591078066	0.14705882352941177	11.759452771747213
87	88	8.806197351132301	0.18593563766388557	839	765.116004224	296	543	156	0.21731123388581952	0.12837837837837837	10.376065520441987
